---,Name,ShortDesc,LongDesc,Icon,ItemClass,BuildingClass,VisualObject,ActionBlueprint_Use,MaxStackSize,EquipLocation,GUICategory,ArmourValue,SoundPhysicalSurface,WeaponType,WeaponArcheType,CompatableAmmunitions,WeaponStaminaAttackSingleBasic,WeaponStaminaAttackSingleSpecial,WeaponStaminaAttackDualBasic,WeaponStaminaAttackDualSpecial,WeaponStaminaHeavyChargedRegenModifier,WeaponSpeedHeavyChargedModifier,EncumbranceWeight,ConeAngle,ConeMaxDistance,DamageHealthLight_OnHit,DamageHealthHeavy_OnHit,DamageStaminaLight_OnHit,DamageStaminaHeavy_OnHit,DamageHealthLight_OnBlock,DamageHealthHeavy_OnBlock,DamageStaminaLight_OnBlock,DamageStaminaHeavy_OnBlock,HarvestDamage,WeaponUsage,MaxAttackReach,MinAttackReach,MinAttackDistance,WeaponEffectWidth,WeaponEffectHeight,ItemTier,ArmorPen,DamageConcussiveLightOnHit,DamageConcussiveHeavyOnHit,DamageConcussiveLightOnBlock,DamageConcussiveHeavyOnBlock,DamageTier,KnockbackOffenseBasic,KnockbackOffenseSpecial,KnockbackDefense,VisualStaticMesh,VisualSkeletalMesh,VisualDestructibleMesh,WeaponStatusDefault,WeaponStatusCurrent,WeaponStatusDecrement,PerishRate,PerishTo,MaxDurability,RepairItem1,RepairItem1_Amount,RepairItem1_Weight,RepairItem2,RepairItem2_Amount,RepairItem2_Weight,RepairItem3,RepairItem3_Amount,RepairItem3_Weight,AffectedByDamageTiers,BuildingPieceScore,BuildingMaxHealth,FirstModifier,SecondModifier,ThirdModifier,FourthModifier,FoodAmount,DrinkAmount,BurnTime,ItemFlags,ItemContainerSize,AvatarType,DyeColourID
10001,"NSLOCTEXT("""", ""30767F434F553F57000A068F10BED459"", ""Stone"")","NSLOCTEXT("""", ""5EB73B0A4A7205F4804E3786DD448382"", ""Roughly hewn chunk of stone"")","NSLOCTEXT("""", ""C003E2044CE76810CACB9592B2B0FA15"", ""Most humble of materials and most common, stone is the building block of civilization. From the primitive weapons of Picts to the marble sheathed palaces of Aquilonian Kings, stone is the foundation upon which all is predicated.\nEven the elder races, who vanished from the earth without a trace, left behind great ruined cities of brooding stone to mark their passing."")","/Game/UI/Textures/Icons/icon_stone-1.icon_stone-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","1","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""D1C5CC164AA9D8A0D5C8588BA91CCB12"", ""Low Grade"")","","NSLOCTEXT("""", ""7E72606040B5BD34E9DED1B5912EBAA0"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1"
10005,"NSLOCTEXT("""", ""DAA364DF4196DB702D82A38EC170ABB6"", ""Bark"")","NSLOCTEXT("""", ""66B4AF3546D620F7E0A3A38BF903EA3F"", ""Strip of bark torn from a tree"")","NSLOCTEXT("""", ""ACE5EA7E4CEDD3BE470690A7E29D35BC"", ""Strip of bark torn from a tree. Use for tanning leather and as a meagre fuel source. A byproduct of using bark in the tanning process is Tar.\nThe leatherworkers of Kordava are renowned for their supple and pliant leather. Their process for tanning, and the bark that they use, is a well-guarded secret.\nTeas brewed from the bark of certain trees are rumoured to cure many different kinds of ailment.\n"")","/Game/UI/Textures/Icons/icon_bark-1.icon_bark-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.050000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""09B738DD4B9B5FE8E2F13291653C5DB8"", ""Low Grade"")","NSLOCTEXT("""", ""32B891CB4BF795F8D3BD8B9C1B17D99B"", ""Combustible "")","","","0","0","24.000000","1","0","None","-1"
10011,"NSLOCTEXT("""", ""C47E311C48387A8D968112AAA9B7627E"", ""Wood"")","NSLOCTEXT("""", ""E9F2FAAA422215BD8E048D8D768B811E"", ""A log hewn from a tree"")","NSLOCTEXT("""", ""01D5F5714F0C20561D151CB4B2DDBB4A"", ""Wood is an abundant source of fuel and building material.\nReadily available and easily shaped with the right tools, wood is ubiquitous in the weapons and buildings of primitive tribes and mighty nations.  \nWood allows for the creation of fire and its easy transport."")","/Game/UI/Textures/Icons/icon_wood-1.icon_wood-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""CBB387CE4535C526D42DF4AB26BA4DA4"", ""Low Grade"")","NSLOCTEXT("""", ""F44FDDE84B6B8FEA69A8E3BF2E76CAF6"", ""Combustible "")","NSLOCTEXT("""", ""026F955C4C882D1A2EA28184F148FDD4"", ""Ingredient"")","","0","0","16.000000","1","0","None","-1"
10012,"NSLOCTEXT("""", ""9A4635BB49828707ED5984A6E0F8F5FF"", ""Branch"")","NSLOCTEXT("""", ""F467F9BA42E470137B2F778481057970"", ""A sturdy branch fallen from a tree"")","NSLOCTEXT("""", ""6F332E8F4B112BDA68D46EB96AF1F155"", ""Branches can be used to create rudimentary weapons and tools, which can then be used to shape wood for more beneficial purposes"")","/Game/UI/Textures/Icons/icon_branch.icon_branch","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""9477CDAA4DAFCD9B529B6E8F942CC4A0"", ""Low Grade"")","NSLOCTEXT("""", ""2C183ADF46F58AFF3BE524BEE628F34C"", ""Combustible "")","NSLOCTEXT("""", ""11235544477B42558F66138C93A3E4C2"", ""Ingredient"")","","0","0","16.000000","1","0","None","-1"
10021,"NSLOCTEXT("""", ""B0C04823428A53DCD56FA5AB38B63FB7"", ""Bone"")","NSLOCTEXT("""", ""46EF48D24EE2677EDDF2FCBA9C11A1C8"", ""Bones and bone fragments from animals and humans"")","NSLOCTEXT("""", ""49D90E9B40E0B32972304F9DF6EDDB26"", ""Used by shamans and witch doctors for rituals and ceremonial gear, bone is a staple of crafting primitive equipment. \nThe people of Darfar are known for ritual cannibalism as a part of their worship of Yog. They use the remains of their victims to craft horrifying weapons and armours.\nBone is not particularly durable and will shatter easily upon iron or steel.\n"")","/Game/UI/Textures/Icons/icon_bone-1.icon_bone-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""FFE2C335451AE5185FBC889DB3F2CE15"", ""Low Grade"")","","NSLOCTEXT("""", ""89067A36494F83015B179D97E8F46189"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1"
10022,"NSLOCTEXT("""", ""AA32F0A44BF4FF31E10CC7A51F2D663C"", ""Undead Dragonbone"")","NSLOCTEXT("""", ""9B3CAA9649DACB7993FAFDA56FD6DAE5"", ""Bones taken from a dragon raised to life through terrible ritual"")","NSLOCTEXT("""", ""D79432BB4F2CC9E16F8B28891B5F4617"", ""<span style=\""italic\"">And their magicians made a terrible magic to guard the city; for by their necromantic arts they re-created the dragons which had once dwelt in this lost land, and whose monstrous bones they found in the forest. Those bones they clothed in flesh and life, and the living beasts walked the earth as they walked it when time was young.</> - Red Nails\nThrough the long passage of eons, rumors of dragons have always been passed down from generation to generation, and the legacy of these fearsome creatures grows with each telling.\nThe sad reality of dragons was that they could not fly, they did not breathe fire or acid, and they were not particularly intelligent. They were simply gigantic predators that lived centuries ago.\nThrough their arts, the Giant-kings resurrected dragons from the bones that they could find. They kept them as pets and bred them for battle in their gladiatorial games. \nTheir bones are particularly strong and can be worked into powerful weapons. </>"")","/Game/UI/Textures/Icons/icon_undead_dragonbone.icon_undead_dragonbone","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""2A6E5079499A3BEE9198A28AEFBBD11F"", ""Low Grade"")","","NSLOCTEXT("""", ""1D93809640FCEF48AFEA37ABBBDAF30D"", ""Ingredient"")","","0","0","0.000000","5","0","None","-1"
10023,"NSLOCTEXT("""", ""332FC8184FECCF15C3CAD18B071FAFE0"", ""Undead Dragonhorn"")","NSLOCTEXT("""", ""39245C164777D59E27111A9650EB6635"", ""Horn taken from a dragon raised to life through terrible ritual"")","NSLOCTEXT("""", ""1EB0E955446E121DEE0327B3DF65EA61"", ""<span style=\""italic\"">And their magicians made a terrible magic to guard the city; for by their necromantic arts they re-created the dragons which had once dwelt in this lost land, and whose monstrous bones they found in the forest. Those bones they clothed in flesh and life, and the living beasts walked the earth as they walked it when time was young.</> - Red Nails\nThrough the long passage of eons, rumors of dragons have always been passed down from generation to generation, and the legacy of these fearsome creatures grows with each telling.\nThe sad reality of dragons was that they could not fly, they did not breathe fire or acid, and they were not particularly intelligent. They were simply gigantic predators that lived centuries ago.\nThrough their arts, the Giant-kings resurrected dragons from the bones that they could find. They kept them as pets and bred them for battle in their gladiatorial games. \nTheir horns are particularly strong and can be worked into powerful weapons.</>\n"")","/Game/UI/Textures/Icons/icon_undead_dragonhorn.icon_undead_dragonhorn","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""AED926BA4397E9FA26823AB0478692D4"", ""Low Grade"")","","NSLOCTEXT("""", ""8C31C9C945516C01F1356080CDD38857"", ""Ingredient"")","","0","0","0.000000","5","0","None","-1"
11001,"NSLOCTEXT("""", ""C00692A74EE9DB83E6367C88DD887B1D"", ""Ironstone"")","NSLOCTEXT("""", ""BDBF8BD84C2186A2EBA19EBC528C4F86"", ""Greyish chunk of stone that can be smelted to obtain iron"")","NSLOCTEXT("""", ""268FC8B54DC4C21E6F54B09E3252E86E"", ""Run through with metallic veins, this ore can be treated in a furnace to create Iron bars.\nIronstone can be strengthened with additional catalysts during the smelting process. Alchemists guard the secrets of their catalysts jealously, so experimentation with a cauldron is required."")","/Game/UI/Textures/Icons/icon_iron_ore-1.icon_iron_ore-1","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""5E189FDD49A4F198ED21129E0358F494"", ""Low Grade"")","NSLOCTEXT("""", ""A786BF0B4C122C040E9EE489662584F4"", ""Meltable"")","NSLOCTEXT("""", ""613502FA44117747B2F6C2A48BE00573"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1"
11011,"NSLOCTEXT("""", ""03533BA84454CB442FA20F87E3B32154"", ""Coal"")","NSLOCTEXT("""", ""97EB6C6E46EE189E7EA8C1BC1DC4C325"", ""The glowing heart of the forge"")","NSLOCTEXT("""", ""EC7A7D674E7C35CFDA38569AACCF8D1E"", ""Coal is a versatile, long lasting fuel. Serious smithing requires a supply of coal to reach the high temperatures for smelting workable metals.\nCoal is required for the process of transforming iron into the steel.\nHarlots and nobles often use charcoal to whiten their teeth and healers often keep a small supply handy as a simple remedy for stomach ailments.\n"")","/Game/UI/Textures/Icons/icon_coal.icon_coal","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","8","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.130000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""B0C7D1494B804BA039D8C19EE76203F7"", ""Mid Grade"")","NSLOCTEXT("""", ""23AA9F54464998303DCC37839BAC788E"", ""Combustible"")","","","0","0","32.000000","1","0","None","-1"
11051,"NSLOCTEXT("""", ""9CAF93FB481F1414331CD6B4CD7CC0CB"", ""Crystal"")","NSLOCTEXT("""", ""26D3EE424C9D2C3E98C6F78F814AF44F"", ""Transparent, shimmering stone"")","NSLOCTEXT("""", ""494576B940F6B5CA3CB85B807CA5CFF7"", ""Brittle, impossible to work with conventional tools, crystal is mostly used for focusing light and creating rudimentary lenses.\nThe Black Seers of Mount Yimsha craft great lenses to aid in their astrological divinations. Black sorceries gain potency when the heavens are in certain configurations."")","/Game/UI/Textures/Icons/icon_crystal.icon_crystal","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","2","None","OneHanded","","0","0","0","0","0.000000","0.000000","0.050000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","1","0","0","1","0","0","1","0","0","0","NSLOCTEXT("""", ""7E3DCD8E4C3D6AB29C08AEB0C28CB9E1"", ""High Grade"")","","NSLOCTEXT("""", ""950D34CB4945C1AA9303BA8C2C5067D9"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1"
